country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Region,Population,Pop. Density,GDP,Birthrate,Deathrate
Bosnia-Herzegovina,76.0,173.0,8.0,4.5489,EASTERN EUROPE,4498976.0,87.99,6100.0,8.77,8.27
Botswana,173.0,35.0,35.0,4.3011,AFRICA,1639833.0,2.73,9000.0,23.08,29.5
Brazil,245.0,145.0,16.0,7.1861999999999995,SOUTH AMERICA,188078227.0,22.1,7600.0,16.56,6.17
Brunei,31.0,2.0,1.0,0.6018000000000001,ASIA,379444.0,65.76,18600.0,18.79,3.45
Bulgaria,231.0,252.0,94.0,10.2129,EASTERN EUROPE,7385367.0,66.59,7600.0,9.65,14.27
Burkina Faso,25.0,7.0,7.0,0.6903,AFRICA,13902972.0,50.7,1100.0,45.62,15.6
Burundi,88.0,0.0,0.0,1.5575999999999999,AFRICA,8090068.0,290.7,600.0,42.22,13.46
Cabo Verde,144.0,56.0,16.0,3.8232,AFRICA,420979.0,104.38,1400.0,24.87,6.55
Cambodia,57.0,65.0,1.0,2.1771,ASIA,13881427.0,76.68,1900.0,26.9,9.06
Cameroon,147.0,1.0,4.0,2.6904000000000003,AFRICA,17340702.0,36.47,1800.0,33.89,13.47
Canada,240.0,122.0,100.0,8.1774,NORTHERN AMERICA,33098932.0,3.31,29800.0,10.78,7.8
Central African Republic,17.0,2.0,1.0,0.354,AFRICA,4303356.0,6.91,1100.0,33.91,18.65
Chad,15.0,1.0,1.0,0.3009,AFRICA,9944201.0,7.74,1200.0,45.73,16.38
Chile,130.0,124.0,172.0,7.5402000000000005,SOUTH AMERICA,16134219.0,21.31,9900.0,15.23,5.81
China,79.0,192.0,8.0,4.9383,ASIA,1313973713.0,136.92,5000.0,13.25,6.97
Colombia,159.0,76.0,3.0,4.2126,SOUTH AMERICA,43593035.0,38.28,6300.0,20.48,5.58
Comoros,1.0,3.0,1.0,0.0885,AFRICA,690948.0,318.41,700.0,36.93,8.2
Costa Rica,149.0,87.0,11.0,4.3719,SOUTH AMERICA,4075261.0,79.75,9100.0,18.32,4.36
